Company_name,Contact_id,Region,Country
Aflac Inc.,00v2000000IZVYWAA5,EMEA,UK
Aflac Inc.,00v2000000IZW13AAH,EMEA,UK
Aflac Inc.,00v2000000IZUepAAH,EMEA,UK
AIG SunAmerica,00v2000000IZWDdAAP,EMEA,UK
AIG SunAmerica,00v2000000IZUdSAAX,EMEA,UK
AIG SunAmerica,00v2000000IZUkRAAX,EMEA,UK
American Express Company,00v2000000IZVBLAA5,EMEA,UK
American Express Company,00v2000000IZW96AAH,EMEA,UK
American Express Company,00v2000000IZVVVAA5,EMEA,UK
Bank of America Corporation,00v2000000IZWDXAA5,EMEA,UK
Bank of America Corporation,00v2000000IZVgmAAH,EMEA,UK
Bank of America Corporation,00v2000000IZW8gAAH,EMEA,UK
Bank One Corporation,00v2000000IZUjiAAH,EMEA,UK
Bank One Corporation,00v2000000IZW2PAAX,EMEA,UK
Bank One Corporation,00v2000000IZW04AAH,EMEA,UK
Bear Stearns,00v2000000g5WrkAAE,EMEA,UK
Bear Stearns,00v2000000NaYPgAAN,EMEA,UK
Bear Stearns,00v2000000fxdpyAAA,EMEA,UK
Bloomberg,00v2000000Mhvw9AAB,EMEA,UK
Bloomberg,00v2000000FDzZ6AAL,EMEA,UK
Bloomberg,00v2000000f10arAAA,EMEA,UK
Bloomberg LP,00v2000000I2mDSAAZ,EMEA,UK
Bloomberg LP,00v2000000V9LEwAAN,EMEA,UK
Bloomberg LP,00v2000000dzrpLAAQ,EMEA,UK
Capital One Financial Corporation,00v2000000IcwmTAAR,EMEA,UK
Capital One Financial Corporation,00v2000000IZWX8AAP,EMEA,UK
Capital One Financial Corporation,00v2000000IbcyJAAR,EMEA,UK
CIT Group,00v2000000LNA9XAAX,EMEA,UK
CIT Group,00v2000000MhuxqAAB,EMEA,UK
CIT Group,00v2000000NbHl6AAF,EMEA,UK
Citigroup,00v2000000P77GRAAZ,EMEA,UK
Citigroup,00v2000000QGvTdAAL,EMEA,UK
Citigroup,00v2000000SK6qeAAD,EMEA,UK
CitiGroup Global Markets Inc.,00v2000000fgHbJAAU,EMEA,UK
CitiGroup Global Markets Inc.,00v2000000PL3NlAAL,EMEA,UK
CitiGroup Global Markets Inc.,00v2000000FkmBYAAZ,EMEA,UK
Citizens Financial,00v2000000MiYl6AAF,EMEA,UK
Citizens Financial,00v2000000MhdkdAAB,EMEA,UK
Citizens Financial,00v2000000M5XI2AAN,EMEA,UK
Conseco,00v2000000JcxjqAAB,EMEA,UK
Conseco,00v2000000JcFYyAAN,EMEA,UK
Conseco,00v2000000FjOwKAAV,EMEA,UK
CountryWide Financial Corporation,00v2000000RBiVMAA1,EMEA,UK
CountryWide Financial Corporation,00v2000000MOXV1AAP,EMEA,UK
CountryWide Financial Corporation,00v2000000MjQC6AAN,EMEA,UK
Deloitte & Touche,00v2000000YcB4RAAV,EMEA,UK
Deloitte & Touche,00v2000000bFleNAAS,EMEA,UK
Deloitte & Touche,00v2000000XPvGnAAL,EMEA,UK
Deloitte Touche Tohmatsu,00v2000000YbZLIAA3,EMEA,UK
Deloitte Touche Tohmatsu,00v2000000PMD61AAH,EMEA,UK
Deloitte Touche Tohmatsu,00v2000000MhGi1AAF,EMEA,UK
Deutsche Bank,00v2000000fFcglAAC,EMEA,UK
Deutsche Bank,00v2000000RD3B3AAL,EMEA,UK
Deutsche Bank,00vD000000h7zhYIAQ,EMEA,UK
Deutsche Bank AG,00v2000000bFpDaAAK,EMEA,UK
Deutsche Bank AG,00v2000000FOrh8AAD,EMEA,UK
Deutsche Bank AG,00v2000000H3mMJAAZ,EMEA,UK
Diebold Inc.,00v2000000cVOx3AAG,EMEA,UK
Diebold Inc.,00vD000000h3bDJIAY,EMEA,UK
Diebold Inc.,00v2000000TN2zlAAD,EMEA,UK
Dow Jones & Company Inc.,00vD000000h85T1IAI,EMEA,UK
Dow Jones & Company Inc.,00vD000000guOkJIAU,EMEA,UK
Dow Jones & Company Inc.,00v2000000TLOxbAAH,EMEA,UK
E*Trade,00vD000000h2W5VIAU,EMEA,UK
E*Trade,00v2000000MjDMpAAN,EMEA,UK
E*Trade,00v2000000dUIpLAAW,EMEA,UK
Equifax,00v2000000KO3OdAAL,EMEA,UK
Equifax,00v2000000eXqaEAAS,EMEA,UK
Equifax,00v2000000bIsbAAAS,EMEA,UK
Ernst & Young LLP,00v2000000VkL8iAAF,EMEA,UK
Ernst & Young LLP,00v2000000Z9pfvAAB,EMEA,UK
Ernst & Young LLP,00v2000000LN8r8AAD,EMEA,UK
Fannie Mae,00v2000000WxBwqAAF,EMEA,UK
Fannie Mae,00v2000000c8mUoAAI,EMEA,UK
Fannie Mae,00v2000000WN76lAAD,EMEA,UK
Fifth Third Bancorp,00v2000000XxRIwAAN,EMEA,UK
Fifth Third Bancorp,00v2000000VBSmAAAX,EMEA,UK
Fifth Third Bancorp,00v2000000KaWElAAN,EMEA,UK
First of America Bank,00vD000000gup3OIAQ,EMEA,UK
First of America Bank,00v2000000MM9D1AAL,EMEA,UK
First of America Bank,00v2000000V9NKnAAN,EMEA,UK
Freddie Mac,00vD000000h2n11IAA,EMEA,UK
Freddie Mac,00v2000000SLnAGAA1,EMEA,UK
Freddie Mac,00v2000000PMjPTAA1,EMEA,UK
Goldman Sachs,00v2000000cqZujAAE,EMEA,UK
Goldman Sachs,00v2000000JApQLAA1,EMEA,UK
Goldman Sachs,00v2000000LmoriAAB,EMEA,UK
H&R Block Inc.,00v2000000KNz3RAAT,EMEA,UK
H&R Block Inc.,00v2000000YbZ02AAF,EMEA,UK
H&R Block Inc.,00v2000000WyCv3AAF,EMEA,UK
Hartford Financial Services,00v2000000WQ3GDAA1,EMEA,UK
Hartford Financial Services,00v2000000fFJaBAAW,EMEA,UK
Hartford Financial Services,00v2000000Ja8xuAAB,EMEA,UK
HSBC Holding PLC,00v2000000WwDtpAAF,EMEA,UK
HSBC Holding PLC,00v2000000LO5IIAA1,EMEA,UK
HSBC Holding PLC,00v2000000MhEoZAAV,EMEA,UK
HSBC USA,00v2000000cpW0FAAU,EMEA,UK
HSBC USA,00v2000000XPGmUAAX,EMEA,UK
HSBC USA,00v2000000fxDIlAAM,EMEA,UK
ING Groep,00v2000000XyuA3AAJ,EMEA,UK
ING Groep,00v2000000XwL48AAF,EMEA,UK
ING Groep,00v2000000KtUcoAAF,EMEA,UK
ING Groep NV,00v2000000aHtFFAA0,EMEA,UK
ING Groep NV,00v2000000ZAeeJAAT,EMEA,UK
ING Groep NV,00v2000000FlpLcAAJ,EMEA,UK
Intuit,00v2000000RBJuyAAH,EMEA,UK
Intuit,00v2000000OVsm1AAD,EMEA,UK
Intuit,00v2000000fHyn5AAC,EMEA,UK
John Hancock Financial Services,00v2000000RBAYoAAP,EMEA,UK
John Hancock Financial Services,00v2000000ZAoGsAAL,EMEA,UK
John Hancock Financial Services,00v2000000WN1bxAAD,EMEA,UK
Kemper Insurance,00v2000000H42IFAAZ,EMEA,UK
Kemper Insurance,00v2000000IZ0FkAAL,EMEA,UK
Kemper Insurance,00v2000000VC7QkAAL,EMEA,UK
KeyBank National Association,00v2000000d3OR4AAM,EMEA,UK
KeyBank National Association,00v2000000JCsxzAAD,EMEA,UK
KeyBank National Association,00v2000000XvbXcAAJ,EMEA,UK
Legg Mason Inc.,00v2000000dy9zuAAA,EMEA,UK
Legg Mason Inc.,00v2000000Uk5AdAAJ,EMEA,UK
Legg Mason Inc.,00v2000000Mjc2KAAR,EMEA,UK
Liberty Mutual Insurance,00v2000000MOJDNAA5,EMEA,UK
Liberty Mutual Insurance,00v2000000KKqHSAA1,EMEA,UK
Liberty Mutual Insurance,00v2000000f1S8YAAU,EMEA,UK
Massachusetts Mutual Life Insurance Company,00v2000000dyEtdAAE,EMEA,UK
Massachusetts Mutual Life Insurance Company,00v2000000aHgMXAA0,EMEA,UK
Massachusetts Mutual Life Insurance Company,00v2000000HR7XlAAL,EMEA,UK
MasterCard Inc.,00v2000000bGbnDAAS,EMEA,UK
MasterCard Inc.,00v2000000KNN8yAAH,EMEA,UK
MasterCard Inc.,00v2000000aGHuTAAW,EMEA,UK
MBNA,00v2000000G68kkAAB,EMEA,UK
MBNA,00v2000000f8Q9jAAE,EMEA,Belgium
MBNA,00v2000000fxNG9AAM,EMEA,Belgium
Mellon Financial,00v2000000eXmt0AAC,EMEA,Belgium
Mellon Financial,00vD000000h1L7mIAE,EMEA,Belgium
Mellon Financial,00v2000000RBKatAAH,EMEA,Belgium
Merrill Lynch & Company Inc.,00v2000000bFAMWAA4,EMEA,Belgium
Merrill Lynch & Company Inc.,00v2000000f7p00AAA,EMEA,Belgium
Merrill Lynch & Company Inc.,00v2000000FOypcAAD,EMEA,Belgium
MetLife,00v2000000WmTTZAA3,EMEA,Belgium
MetLife,00v2000000TMEIEAA5,EMEA,Belgium
MetLife,00v2000000OVtSEAA1,EMEA,Belgium
Moody’s Corporation,00v2000000GduCAAAZ,EMEA,Belgium
Moody’s Corporation,00v2000000NaHYNAA3,EMEA,Belgium
Moody’s Corporation,00v2000000NcCsTAAV,EMEA,Belgium
Morgan Stanley,00v2000000XvbVGAAZ,EMEA,Belgium
Morgan Stanley,00v2000000KMho2AAD,EMEA,Belgium
Morgan Stanley,00v2000000eJRWzAAO,EMEA,Belgium
Mutual of Omaha,00v2000000POOhWAAX,EMEA,Belgium
Mutual of Omaha,00v2000000LLSUBAA5,EMEA,Belgium
Mutual of Omaha,00v2000000LNVy5AAH,EMEA,Belgium
National City Corporation,00v2000000eYR4TAAW,EMEA,Belgium
National City Corporation,00v2000000d3N4EAAU,EMEA,Belgium
National City Corporation,00v2000000MMc76AAD,EMEA,Belgium
Nationwide Financial Services,00v2000000PM1zHAAT,EMEA,Belgium
Nationwide Financial Services,00v2000000NaOvjAAF,EMEA,Belgium
Nationwide Financial Services,00v2000000coihVAAQ,EMEA,Belgium
New York Life Insurance,00v2000000g6iDDAAY,EMEA,Belgium
New York Life Insurance,00v2000000FCqPzAAL,EMEA,Belgium
New York Life Insurance,00v2000000XQOH6AAP,EMEA,Belgium
Northwestern Mutual,00v2000000QE6CJAA1,EMEA,Belgium
Northwestern Mutual,00v2000000MhYWrAAN,EMEA,Belgium
Northwestern Mutual,00v2000000KKkceAAD,EMEA,Belgium
Norwest Venture Capital Management Inc.,00v2000000aEqYUAA0,EMEA,Belgium
Norwest Venture Capital Management Inc.,00vD000000h81tOIAQ,EMEA,France
Norwest Venture Capital Management Inc.,00v2000000dj5k7AAA,EMEA,France
NYSE – New York Stock Exchange,00vD000000h2eo3IAA,EMEA,France
NYSE – New York Stock Exchange,00v2000000Fks7FAAR,EMEA,France
NYSE – New York Stock Exchange,00v2000000dzNKaAAM,EMEA,France
Oppenheimer Holdings,00v2000000WPhXxAAL,EMEA,France
Oppenheimer Holdings,00vD000000h1RnFIAU,EMEA,France
Oppenheimer Holdings,00vD000000h3Wf1IAE,EMEA,France
Pacific Life Insurance Company,00v2000000LNVUBAA5,EMEA,France
Pacific Life Insurance Company,00v2000000SLxKAAA1,EMEA,France
Pacific Life Insurance Company,00v2000000eJahkAAC,EMEA,France
Pacific Mutual Holding Company,00v2000000di4trAAA,EMEA,France
Pacific Mutual Holding Company,00v2000000cp71PAAQ,EMEA,France
Pacific Mutual Holding Company,00v2000000YbGy6AAF,EMEA,France
Pioneer Investment Management,00v2000000cpN3MAAU,EMEA,France
Pioneer Investment Management,00v2000000dgRm6AAE,EMEA,France
Pioneer Investment Management,00v2000000bo5j0AAA,EMEA,France
PricewaterhouseCoopers,00v2000000SjdgfAAB,EMEA,France
PricewaterhouseCoopers,00v2000000c802eAAA,EMEA,France
PricewaterhouseCoopers,00v2000000epikYAAQ,EMEA,France
Progressive,00v2000000Mjd8zAAB,EMEA,France
Progressive,00v2000000dyi1cAAA,EMEA,France
Progressive,00v2000000aEWirAAG,EMEA,France
Providian Financial,00v2000000G4AxbAAF,EMEA,France
Providian Financial,00v2000000FPF2rAAH,EMEA,France
Providian Financial,00v2000000MgspfAAB,EMEA,France
Sallie Mae (SLM Corporation),00v2000000d25a6AAA,EMEA,France
Sallie Mae (SLM Corporation),00v2000000VC7HIAA1,EMEA,France
Sallie Mae (SLM Corporation),00v2000000g47v8AAA,EMEA,France
Sovereign Bancorp,00v2000000XyrehAAB,EMEA,France
Sovereign Bancorp,00v2000000OVtOQAA1,EMEA,France
Sovereign Bancorp,00v2000000U2G88AAF,EMEA,France
State Farm Mutual Automobile Insurance Company,00v2000000QFaezAAD,EMEA,France
State Farm Mutual Automobile Insurance Company,00v2000000d3hwfAAA,EMEA,Sweden
State Farm Mutual Automobile Insurance Company,00v2000000MhJaAAAV,EMEA,Sweden
SunTrust Banks,00v2000000eVNNQAA4,EMEA,Sweden
SunTrust Banks,00v2000000U0FZYAA3,EMEA,Sweden
SunTrust Banks,00v2000000RC4XkAAL,EMEA,Sweden
TD AmeriTrade,00v2000000PNzlIAAT,EMEA,Sweden
TD AmeriTrade,00v2000000LOMzMAAX,EMEA,Sweden
TD AmeriTrade,00v2000000fI9h5AAC,EMEA,Sweden
The Allstate Corporation,00v2000000eIzFCAA0,EMEA,Sweden
The Allstate Corporation,00v2000000SJz19AAD,EMEA,Sweden
The Allstate Corporation,00v2000000ZAJ5zAAH,EMEA,Sweden
The Bank of New York Mellon Corporation,00v2000000XR0uoAAD,EMEA,Sweden
The Bank of New York Mellon Corporation,00v2000000SMYAQAA5,EMEA,Sweden
The Bank of New York Mellon Corporation,00v2000000fhNO1AAM,EMEA,Sweden
The Charles Schwab Corporation,00v2000000g357DAAQ,EMEA,Sweden
The Charles Schwab Corporation,00vD000000h2u3lIAA,EMEA,Sweden
The Charles Schwab Corporation,00v2000000RCFU9AAP,EMEA,Sweden
The Equitable,00v2000000aE16iAAC,EMEA,Sweden
The Equitable,00v2000000U0yXFAAZ,EMEA,Sweden
The Equitable,00v2000000HR7B2AAL,EMEA,Sweden
The Guardian Life Insurance Company of America,00v2000000IZ4yuAAD,EMEA,Sweden
The Guardian Life Insurance Company of America,00v2000000gTMzcAAG,EMEA,Sweden
The Guardian Life Insurance Company of America,00v2000000bGa91AAC,EMEA,Sweden
The Travelers Companies Inc.,00v2000000QFTC9AAP,EMEA,Sweden
The Travelers Companies Inc.,00v2000000e0XkOAAU,EMEA,Sweden
